carat,depth,price,x,y,z,class
0.23,61.5,326,3.95,3.98,2.43,1
0.21,59.8,326,3.89,3.84,2.31,1
0.23,56.9,327,4.05,4.07,2.31,1
0.29,62.4,334,4.2,4.23,2.63,2
0.31,63.3,335,4.34,4.35,2.75,3
0.24,62.8,336,3.94,3.96,2.48,3
0.24,62.3,336,3.95,3.98,2.47,2
0.26,61.9,337,4.07,4.11,2.53,2
0.22,65.1,337,3.87,3.78,2.49,1
0.23,59.4,338,4,4.05,2.39,2
0.3,64,339,4.25,4.28,2.73,3
0.23,62.8,340,3.93,3.9,2.46,3
0.22,60.4,342,3.88,3.84,2.33,3
0.31,62.2,344,4.35,4.37,2.71,3
0.2,60.2,345,3.79,3.75,2.27,1
0.32,60.9,345,4.38,4.42,2.68,1
0.3,62,348,4.31,4.34,2.68,2
0.3,63.4,351,4.23,4.29,2.7,3
0.3,63.8,351,4.23,4.26,2.71,3
0.3,62.7,351,4.21,4.27,2.66,3
0.3,63.3,351,4.26,4.3,2.71,2
0.23,63.8,352,3.85,3.92,2.48,1
0.23,61,353,3.94,3.96,2.41,2
0.31,59.4,353,4.39,4.43,2.62,3
0.31,58.1,353,4.44,4.47,2.59,3
0.23,60.4,354,3.97,4.01,2.41,1
0.24,62.5,355,3.97,3.94,2.47,2
0.3,62.2,357,4.28,4.3,2.67,3
0.23,60.5,357,3.96,3.97,2.4,2
0.23,60.9,357,3.96,3.99,2.42,3
0.23,60,402,4,4.03,2.41,3
0.23,59.8,402,4.04,4.06,2.42,3
0.23,60.7,402,3.97,4.01,2.42,1
0.23,59.5,402,4.01,4.06,2.4,1
0.23,61.9,402,3.92,3.96,2.44,2
0.23,58.2,402,4.06,4.08,2.37,3
0.23,64.1,402,3.83,3.85,2.46,1
0.31,64,402,4.29,4.31,2.75,2
0.26,60.8,403,4.13,4.16,2.52,2
0.33,61.8,403,4.49,4.51,2.78,2
0.33,61.2,403,4.49,4.5,2.75,2
0.33,61.1,403,4.49,4.55,2.76,3
0.26,65.2,403,3.99,4.02,2.61,2
0.26,58.4,403,4.19,4.24,2.46,2
0.32,63.1,403,4.34,4.37,2.75,2
0.29,62.4,403,4.24,4.26,2.65,3
0.32,61.8,403,4.35,4.42,2.71,2
0.32,63.8,403,4.36,4.38,2.79,2
0.25,63.3,404,4,4.03,2.54,1
0.29,60.7,404,4.33,4.37,2.64,2
0.24,60.9,404,4.02,4.03,2.45,3
0.23,61.9,404,3.93,3.95,2.44,1
0.32,60.9,404,4.45,4.48,2.72,2
